cameraIndex,cameraName,cameraUserId,cameraDisplayName,positionX,positionY,radius,weight,centroidIndex
0,eins (2123114),0,eins,,,,,
1,sieben (2123135),6,sieben,,,,,
2,vier (2123141),3,vier,707.5292236917769,145.09235192639449,8.526595616947999,1.0,0
3,drei (2126903),2,drei,,,,,
4,fuenf (2126905),4,fuenf,,,,,
5,acht (2126908),7,acht,,,,,
6,sechs (2133382),5,sechs,847.5135621687401,595.7034526455532,12.558366687899833,1.0,0
7,zwei (2133427),1,zwei,,,,,
8,zwoelf (2137246),11,zwoelf,,,,,
9,elf (2137258),10,elf,,,,,
10,zehn (2137262),9,zehn,,,,,
11,dreizehn (2142111),12,dreizehn,,,,,
12,neun (2142614),8,neun,,,,,
